Post,Sentiment,Breakup_Label,Upvotes,Downvotes,Comment_Count
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,186,57,173
"We had a disagreement, but I think we'll work things out.",0.0,0,449,94,127
"I feel like we're drifting apart, should I end things?",0.0,1,105,8,10
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,80,69,182
"I love him, and we are just going through a rough patch.",0.2,0,403,89,55
"Things aren't perfect, but I'm willing to fix it.",0.625,0,373,61,14
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,130,88,200
"I don't trust him anymore, I think the relationship is over.",0.0,1,171,94,2
"I don't trust him anymore, I think the relationship is over.",0.0,1,40,55,166
"Things aren't perfect, but I'm willing to fix it.",0.625,0,216,59,146
"Things aren't perfect, but I'm willing to fix it.",0.625,0,386,32,85
"I feel like we're drifting apart, should I end things?",0.0,1,14,75,89
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,414,76,72
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,139,94,161
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,63,72,118
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,445,74,196
"I know we had a fight, but we'll get through it together.",0.0,0,362,58,187
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,428,8,147
"We had a disagreement, but I think we'll work things out.",0.0,0,206,23,100
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,485,37,86
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,411,58,50
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,85,15,38
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,379,51,104
"I don't trust him anymore, I think the relationship is over.",0.0,1,240,22,65
"I love him, and we are just going through a rough patch.",0.2,0,328,19,86
"I know we had a fight, but we'll get through it together.",0.0,0,90,73,104
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,126,92,36
"I love him, and we are just going through a rough patch.",0.2,0,236,56,35
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,440,67,183
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,322,42,86
"Things aren't perfect, but I'm willing to fix it.",0.625,0,29,80,182
"We had a disagreement, but I think we'll work things out.",0.0,0,140,54,109
"I feel like we're drifting apart, should I end things?",0.0,1,69,73,38
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,9,37,126
"I love him, and we are just going through a rough patch.",0.2,0,171,61,148
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,115,62,54
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,155,34,173
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,293,70,118
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,267,81,87
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,152,35,32
"I know we had a fight, but we'll get through it together.",0.0,0,37,47,140
"We had a disagreement, but I think we'll work things out.",0.0,0,293,70,155
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,112,43,78
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,224,41,123
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,155,79,73
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,128,70,10
"I feel like we're drifting apart, should I end things?",0.0,1,164,31,18
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,331,34,20
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,450,46,66
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,36,13,41
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,406,0,65
"We had a disagreement, but I think we'll work things out.",0.0,0,448,85,125
"I love him, and we are just going through a rough patch.",0.2,0,129,89,6
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,481,7,8
"I know we had a fight, but we'll get through it together.",0.0,0,343,59,91
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,494,93,85
"We had a disagreement, but I think we'll work things out.",0.0,0,362,13,39
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,470,78,121
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,267,25,82
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,457,49,39
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,24,74,21
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,385,9,186
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,124,34,41
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,235,98,165
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,229,61,86
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,326,22,107
"We had a disagreement, but I think we'll work things out.",0.0,0,17,74,145
"I love him, and we are just going through a rough patch.",0.2,0,95,78,101
"I don't trust him anymore, I think the relationship is over.",0.0,1,278,6,198
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,279,75,69
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,478,20,198
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,333,14,47
"I love him, and we are just going through a rough patch.",0.2,0,335,4,95
"I don't trust him anymore, I think the relationship is over.",0.0,1,454,58,177
"I feel like we're drifting apart, should I end things?",0.0,1,182,20,193
"We had a disagreement, but I think we'll work things out.",0.0,0,448,50,96
"We had a disagreement, but I think we'll work things out.",0.0,0,66,10,47
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,474,72,53
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,50,25,58
"I know we had a fight, but we'll get through it together.",0.0,0,178,61,146
"I know we had a fight, but we'll get through it together.",0.0,0,337,29,82
"I know we had a fight, but we'll get through it together.",0.0,0,339,79,33
"Things aren't perfect, but I'm willing to fix it.",0.625,0,139,59,75
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,493,28,26
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,168,80,41
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,148,9,149
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,398,23,139
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,100,13,95
"I love him, and we are just going through a rough patch.",0.2,0,400,75,77
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,322,77,120
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,31,62,100
"I know we had a fight, but we'll get through it together.",0.0,0,392,52,199
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,394,9,113
"Things aren't perfect, but I'm willing to fix it.",0.625,0,9,78,174
"I feel like we're drifting apart, should I end things?",0.0,1,331,91,200
"I don't trust him anymore, I think the relationship is over.",0.0,1,23,31,39
"I feel like we're drifting apart, should I end things?",0.0,1,40,15,115
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,39,44,69
"I know we had a fight, but we'll get through it together.",0.0,0,415,54,12
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,309,2,175
"We had a disagreement, but I think we'll work things out.",0.0,0,109,9,176
"We had a disagreement, but I think we'll work things out.",0.0,0,36,93,45
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,33,75,95
"I don't trust him anymore, I think the relationship is over.",0.0,1,52,48,120
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,278,94,86
"I don't trust him anymore, I think the relationship is over.",0.0,1,449,18,144
"I feel like we're drifting apart, should I end things?",0.0,1,495,73,16
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,333,13,95
"I don't trust him anymore, I think the relationship is over.",0.0,1,122,2,199
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,318,75,196
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,223,63,154
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,124,6,128
"I love him, and we are just going through a rough patch.",0.2,0,467,43,163
"I don't trust him anymore, I think the relationship is over.",0.0,1,77,89,66
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,351,65,76
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,438,19,10
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,488,20,101
"I love him, and we are just going through a rough patch.",0.2,0,170,22,99
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,458,78,115
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,495,31,188
"I love him, and we are just going through a rough patch.",0.2,0,280,67,155
"I don't trust him anymore, I think the relationship is over.",0.0,1,248,87,174
"I don't trust him anymore, I think the relationship is over.",0.0,1,301,38,144
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,56,98,134
"Things aren't perfect, but I'm willing to fix it.",0.625,0,207,51,120
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,276,24,198
"We had a disagreement, but I think we'll work things out.",0.0,0,152,89,136
"I know we had a fight, but we'll get through it together.",0.0,0,28,62,82
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,470,16,136
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,286,86,0
"I love him, and we are just going through a rough patch.",0.2,0,485,99,27
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,327,72,52
"I don't trust him anymore, I think the relationship is over.",0.0,1,128,81,129
"I know we had a fight, but we'll get through it together.",0.0,0,262,89,160
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,233,98,114
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,474,69,85
"We had a disagreement, but I think we'll work things out.",0.0,0,239,23,198
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,395,73,77
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,127,97,158
"I love him, and we are just going through a rough patch.",0.2,0,63,34,140
"I know we had a fight, but we'll get through it together.",0.0,0,457,32,36
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,450,76,23
"We had a disagreement, but I think we'll work things out.",0.0,0,256,99,10
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,462,86,63
"I feel like we're drifting apart, should I end things?",0.0,1,59,21,178
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,492,49,14
"I feel like we're drifting apart, should I end things?",0.0,1,424,87,176
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,345,20,2
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,193,21,3
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,111,39,120
"We had a disagreement, but I think we'll work things out.",0.0,0,235,32,34
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,291,58,197
"We had a disagreement, but I think we'll work things out.",0.0,0,462,38,69
"I don't trust him anymore, I think the relationship is over.",0.0,1,339,27,124
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,107,29,168
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,388,46,65
"I love him, and we are just going through a rough patch.",0.2,0,31,78,81
"I love him, and we are just going through a rough patch.",0.2,0,321,53,159
"Things aren't perfect, but I'm willing to fix it.",0.625,0,364,100,127
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,455,36,164
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,172,10,82
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,110,79,23
"I know we had a fight, but we'll get through it together.",0.0,0,314,63,19
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,186,31,200
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,122,49,31
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,127,25,77
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,386,89,83
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,420,26,1
"I feel like we're drifting apart, should I end things?",0.0,1,71,54,123
"I love him, and we are just going through a rough patch.",0.2,0,92,87,169
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,141,16,41
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,43,28,159
"I don't trust him anymore, I think the relationship is over.",0.0,1,95,1,173
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,328,54,114
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,402,99,34
"I know we had a fight, but we'll get through it together.",0.0,0,53,99,40
"I love him, and we are just going through a rough patch.",0.2,0,417,18,123
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,407,57,63
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,228,89,120
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,294,49,22
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,379,54,197
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,469,46,75
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,131,17,88
"I love him, and we are just going through a rough patch.",0.2,0,132,95,157
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,141,82,118
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,12,1,77
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,18,82,173
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,257,10,38
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,98,26,191
"Things aren't perfect, but I'm willing to fix it.",0.625,0,9,76,76
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,369,11,17
"We had a disagreement, but I think we'll work things out.",0.0,0,405,83,125
"I know we had a fight, but we'll get through it together.",0.0,0,323,79,110
"Things aren't perfect, but I'm willing to fix it.",0.625,0,461,77,81
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,246,88,93
"I don't trust him anymore, I think the relationship is over.",0.0,1,64,59,16
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,372,90,180
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,245,11,27
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,112,54,74
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,328,36,188
"I feel like we're drifting apart, should I end things?",0.0,1,409,2,85
"We had a disagreement, but I think we'll work things out.",0.0,0,227,67,159
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,409,32,11
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,46,36,87
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,396,2,136
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,373,34,19
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,35,55,195
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,98,87,196
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,325,23,60
"I don't trust him anymore, I think the relationship is over.",0.0,1,178,21,61
"I feel like we're drifting apart, should I end things?",0.0,1,202,98,103
"I know we had a fight, but we'll get through it together.",0.0,0,15,4,120
"I don't trust him anymore, I think the relationship is over.",0.0,1,172,68,128
"I love him, and we are just going through a rough patch.",0.2,0,400,36,110
"Things aren't perfect, but I'm willing to fix it.",0.625,0,481,35,27
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,417,21,32
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,447,32,116
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,343,11,192
"I love him, and we are just going through a rough patch.",0.2,0,329,58,42
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,10,95,190
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,400,49,71
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,123,6,115
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,388,52,168
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,270,12,104
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,419,85,172
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,13,40,67
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,479,21,118
"I love him, and we are just going through a rough patch.",0.2,0,359,19,92
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,486,71,89
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,255,4,96
"Things aren't perfect, but I'm willing to fix it.",0.625,0,243,95,193
"I feel like we're drifting apart, should I end things?",0.0,1,284,72,199
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,8,60,131
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,175,68,72
"Things aren't perfect, but I'm willing to fix it.",0.625,0,77,17,119
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,369,57,147
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,220,56,40
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,23,4,18
"We had a disagreement, but I think we'll work things out.",0.0,0,431,58,0
"I know we had a fight, but we'll get through it together.",0.0,0,32,64,144
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,478,70,16
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,146,78,95
"We had a disagreement, but I think we'll work things out.",0.0,0,433,25,142
"I feel like we're drifting apart, should I end things?",0.0,1,247,79,65
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,158,80,192
"I know we had a fight, but we'll get through it together.",0.0,0,84,46,198
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,111,15,168
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,51,89,61
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,261,32,169
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,372,14,107
"I don't trust him anymore, I think the relationship is over.",0.0,1,200,50,5
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,342,21,200
"I don't trust him anymore, I think the relationship is over.",0.0,1,403,37,153
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,392,28,125
"Things aren't perfect, but I'm willing to fix it.",0.625,0,137,64,168
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,456,70,98
"I don't trust him anymore, I think the relationship is over.",0.0,1,377,33,81
"I feel like we're drifting apart, should I end things?",0.0,1,472,59,19
"I don't trust him anymore, I think the relationship is over.",0.0,1,41,4,2
"I don't trust him anymore, I think the relationship is over.",0.0,1,411,65,62
"I don't trust him anymore, I think the relationship is over.",0.0,1,462,73,39
"I don't trust him anymore, I think the relationship is over.",0.0,1,309,62,131
"I love him, and we are just going through a rough patch.",0.2,0,23,28,151
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,189,50,173
"I love him, and we are just going through a rough patch.",0.2,0,459,90,95
"I feel like we're drifting apart, should I end things?",0.0,1,413,14,43
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,220,28,177
"We had a disagreement, but I think we'll work things out.",0.0,0,28,22,51
"I don't trust him anymore, I think the relationship is over.",0.0,1,312,78,120
"I don't trust him anymore, I think the relationship is over.",0.0,1,239,59,66
"I love him, and we are just going through a rough patch.",0.2,0,67,36,54
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,441,18,111
"I don't trust him anymore, I think the relationship is over.",0.0,1,387,4,57
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,346,93,121
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,375,78,92
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,48,51,174
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,457,46,5
"Things aren't perfect, but I'm willing to fix it.",0.625,0,149,30,195
"I feel like we're drifting apart, should I end things?",0.0,1,365,10,125
"Things aren't perfect, but I'm willing to fix it.",0.625,0,255,100,188
"I know we had a fight, but we'll get through it together.",0.0,0,112,6,96
"I don't trust him anymore, I think the relationship is over.",0.0,1,14,15,42
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,148,0,117
"I don't trust him anymore, I think the relationship is over.",0.0,1,297,55,162
"I know we had a fight, but we'll get through it together.",0.0,0,473,35,78
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,404,31,160
"I know we had a fight, but we'll get through it together.",0.0,0,409,11,116
"I know we had a fight, but we'll get through it together.",0.0,0,481,14,60
"We had a disagreement, but I think we'll work things out.",0.0,0,275,48,150
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,379,24,131
"I don't trust him anymore, I think the relationship is over.",0.0,1,390,4,12
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,222,42,118
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,342,47,78
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,236,99,108
"I don't trust him anymore, I think the relationship is over.",0.0,1,391,60,150
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,95,22,71
"I don't trust him anymore, I think the relationship is over.",0.0,1,173,68,172
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,132,48,179
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,193,83,152
"I know we had a fight, but we'll get through it together.",0.0,0,112,91,108
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,353,87,30
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,341,7,182
"I know we had a fight, but we'll get through it together.",0.0,0,326,31,199
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,240,31,3
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,176,67,80
"I don't trust him anymore, I think the relationship is over.",0.0,1,195,53,64
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,327,24,48
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,8,81,108
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,324,21,148
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,278,37,8
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,115,42,185
"I love him, and we are just going through a rough patch.",0.2,0,125,69,79
"I love him, and we are just going through a rough patch.",0.2,0,32,54,18
"I don't trust him anymore, I think the relationship is over.",0.0,1,21,39,121
"I know we had a fight, but we'll get through it together.",0.0,0,382,90,6
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,359,90,24
"Things aren't perfect, but I'm willing to fix it.",0.625,0,157,28,151
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,176,87,131
"We had a disagreement, but I think we'll work things out.",0.0,0,166,99,170
"I don't trust him anymore, I think the relationship is over.",0.0,1,124,71,4
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,35,93,188
"I know we had a fight, but we'll get through it together.",0.0,0,381,16,180
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,0,25,108
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,378,56,133
"I feel like we're drifting apart, should I end things?",0.0,1,190,12,136
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,338,6,182
"Things aren't perfect, but I'm willing to fix it.",0.625,0,133,32,58
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,64,25,74
"We had a disagreement, but I think we'll work things out.",0.0,0,478,99,1
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,101,15,64
"Things aren't perfect, but I'm willing to fix it.",0.625,0,476,52,20
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,168,46,117
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,207,44,122
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,486,73,107
"I feel like we're drifting apart, should I end things?",0.0,1,466,14,23
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,166,48,170
"We had a disagreement, but I think we'll work things out.",0.0,0,446,100,30
"I feel like we're drifting apart, should I end things?",0.0,1,291,73,157
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,65,89,137
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,374,52,72
"I love him, and we are just going through a rough patch.",0.2,0,346,13,188
"We had a disagreement, but I think we'll work things out.",0.0,0,293,26,89
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,105,11,137
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,97,77,63
"I feel like we're drifting apart, should I end things?",0.0,1,61,87,123
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,343,54,165
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,102,54,136
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,213,4,118
"Things aren't perfect, but I'm willing to fix it.",0.625,0,255,83,111
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,347,71,21
"We had a disagreement, but I think we'll work things out.",0.0,0,56,26,177
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,345,96,96
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,39,54,55
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,442,27,6
"Things aren't perfect, but I'm willing to fix it.",0.625,0,199,98,139
"We had a disagreement, but I think we'll work things out.",0.0,0,141,71,61
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,10,89,159
"We had a disagreement, but I think we'll work things out.",0.0,0,88,75,97
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,47,36,52
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,86,85,5
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,128,48,6
"I don't trust him anymore, I think the relationship is over.",0.0,1,424,68,86
"I don't trust him anymore, I think the relationship is over.",0.0,1,75,67,118
"We had a disagreement, but I think we'll work things out.",0.0,0,227,17,102
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,252,57,196
"I feel like we're drifting apart, should I end things?",0.0,1,205,27,23
"I feel like we're drifting apart, should I end things?",0.0,1,327,30,46
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,436,90,13
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,430,13,184
"We had a disagreement, but I think we'll work things out.",0.0,0,315,44,149
"I love him, and we are just going through a rough patch.",0.2,0,447,84,118
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,280,45,164
"I know we had a fight, but we'll get through it together.",0.0,0,230,66,81
"I don't trust him anymore, I think the relationship is over.",0.0,1,134,100,87
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,318,82,161
"I know we had a fight, but we'll get through it together.",0.0,0,7,38,93
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,140,7,144
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,186,92,176
"Things aren't perfect, but I'm willing to fix it.",0.625,0,121,9,89
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,192,74,42
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,58,27,52
"Things aren't perfect, but I'm willing to fix it.",0.625,0,184,86,13
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,331,85,157
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,1,65,185
"I don't trust him anymore, I think the relationship is over.",0.0,1,372,32,168
"We had a disagreement, but I think we'll work things out.",0.0,0,177,21,132
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,333,54,91
"I feel like we're drifting apart, should I end things?",0.0,1,265,50,115
"Things aren't perfect, but I'm willing to fix it.",0.625,0,423,11,56
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,414,26,46
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,326,11,74
"I love him, and we are just going through a rough patch.",0.2,0,29,95,9
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,225,37,28
